followup1;other1;language;length;max_workers;mop;how_natural;rating_list;merged_ratings;text;number_of_reasons
"6

6,7,9
9
5

5,9
5,6
10
7

6
5

5,10
5,6,9
6

5
7";"


















";no;24;16;MOP4;3, 4, 3, 3, 3, 4, 1, 3, 2, 3, 4, 3, 1, 4, 2, 1, 2, 4, 3, 3;2, 3, 2, 4, 3, 2, 1, 2, 4, 4, 4, 2, 1, 2, 3, 4;3, 4, 3, 3, 3, 4, 1, 3, 2, 3, 4, 3, 1, 4, 2, 1, 2, 4, 3, 3,2, 3, 2, 4, 3, 2, 1, 2, 4, 4, 4, 2, 1, 2, 3, 4;Engaged in long-range strategic bombing of enemy targets in occupied Europe and Nazi Germany , attacking transportation, industry, oil industry and other measures as directed .;22
"
6
8,9,10


9

6


6


5

9
10
6

";"


















";ja;17;13;MOP4;4, 3, 2, 4, 4, 3, 4, 3, 4, 4, 2, 4, 4, 3, 4, 2, 3, 3, 4, 4;4, 3, 2, 2, 1, 4, 4, 3, 1, 2, 1, 1, 1;4, 3, 2, 4, 4, 3, 4, 3, 4, 4, 2, 4, 4, 3, 4, 2, 3, 3, 4, 4,4, 3, 2, 2, 1, 4, 4, 3, 1, 2, 1, 1, 1;Field of potent ligands leads to low- spin complex , which causes some exceptions to 18 e- rule .;11
"


10

7

9

10


9
10

10



5";"


















";no;11;15;MOP4;4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;From 1961 to 1963 Jones taught at Croydon College of Art.;8
"


















";"


















";en;12;16;MOP4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;From 1970 to 1982 , Wellink worked at the Dutch Ministry of Finance .;0
"
6,7,9

5
9,10
5






9

5,9

6

5,9,10
11";"


















There are multiple mistakes in the sentence, in grammer, the incorrect use of a plural, and the word computer used instead of costume.";es;17;16;MOP4;4, 2, 4, 3, 2, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 2, 4, 1, 1;3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 1, 3, 1, 2;4, 2, 4, 3, 2, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 2, 4, 1, 1,3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 1, 3, 1, 2;Gaga costumes throughout the video consists mainly of a single computer that was designed by Gianni Versace.;15
"
8



5
9

5
7
9




10
7,10

10
5,6";"


















";en;23;17;MOP4;4, 2, 4, 4, 4, 2, 1, 4, 3, 3, 2, 4, 4, 4, 4, 3, 3, 4, 3, 2;4, 4, 3, 3, 2, 1, 2, 4, 4, 3, 2, 3, 2, 4, 1, 2, 4;4, 2, 4, 4, 4, 2, 1, 4, 3, 3, 2, 4, 4, 4, 4, 3, 3, 4, 3, 2,4, 4, 3, 3, 2, 1, 2, 4, 4, 3, 2, 3, 2, 4, 1, 2, 4;Geertz's final category of slametans , intermittently occurring and dependent on a specific situation , are somewhat less frequent and tend to be smaller affairs .;12
"




10
6,7
9


9




5
10


";"


















";zh;18;16;MOP4;4, 4, 4, 4, 4, 3, 3, 2, 4, 4, 3, 4, 4, 4, 4, 2, 3, 4, 4, 4;4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 2;4, 4, 4, 4, 4, 3, 3, 2, 4, 4, 3, 4, 4, 4, 4, 2, 3, 4, 4, 4,4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 2;Given this approach, language and literacy interventions take place continually , while strengthening the bond between parents and children .;7
"6,9
6
9,10
5
9,10

5,9
5,6,9

5,6";"








";zh;8;14;MOP4;1, 2, 3, 2, 3, 4, 1, 1, 4, 2;2, 2, 1, 2, 1, 2, 1, 1, 1, 3, 1, 2, 1, 4;1, 2, 3, 2, 3, 4, 1, 1, 4, 2,2, 2, 1, 2, 1, 2, 1, 1, 1, 3, 1, 2, 1, 4;Guests have from two sports and entertainment world .;15
"7

10

9
9

10

7,10

9,10
10

10
5,6,8
7
5
7
5";"


















";en;17;16;MOP4;3, 4, 1, 4, 3, 3, 4, 3, 4, 2, 4, 2, 2, 4, 3, 2, 2, 2, 3, 1;3, 2, 3, 1, 3, 2, 4, 4, 1, 1, 2, 1, 3, 4, 3, 3;3, 4, 1, 4, 3, 3, 4, 3, 4, 2, 4, 2, 2, 4, 3, 2, 2, 2, 3, 1,3, 2, 3, 1, 3, 2, 4, 4, 1, 1, 2, 1, 3, 4, 3, 3;Harold` s batman Private Albert Scriven wrote to his widow Mabel on 16 September describing what happened :;18
"



5



6



6


10
5


";"


















";ja;9;18;MOP4;4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4;4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4;Haslum is a district in the municipality Baerum , Norway .;5
"7




7
7,10
7


7
7,10
6
10
7,9,10
7,9
7,9
7

10";"


















";en;21;16;MOP4;2, 4, 4, 4, 4, 2, 3, 3, 4, 4, 3, 3, 3, 3, 3, 2, 3, 3, 4, 3;4, 2, 4, 2, 1, 3, 2, 3, 4, 2, 3, 4, 1, 3, 2, 4;2, 4, 4, 4, 4, 2, 3, 3, 4, 4, 3, 3, 3, 3, 3, 2, 3, 3, 4, 3,4, 2, 4, 2, 1, 3, 2, 3, 4, 2, 3, 4, 1, 3, 2, 4;"He has established three international organizations ; are Sawaad-e-A’zam , Ahle Sunnat Haqeeqee and International Sunni Movement which are non-profit and non-political movements .";19
"6,7
5
9
8,9,10


10

5,9,10
5

5,8

5,8,9

8
5,8,9,10
8,9
7,8
8,9";"


















";en;15;16;MOP4;2, 3, 2, 2, 4, 4, 2, 4, 2, 1, 4, 1, 4, 2, 4, 3, 2, 3, 3, 3;3, 4, 4, 3, 1, 4, 3, 1, 3, 3, 1, 2, 1, 1, 2, 4;2, 3, 2, 2, 4, 4, 2, 4, 2, 1, 4, 1, 4, 2, 4, 3, 2, 3, 3, 3,3, 4, 4, 3, 1, 4, 3, 1, 3, 3, 1, 2, 1, 1, 2, 4;He is an acute ... and discriminat ... logician  with  the habitual coolness and caution  of the lawyer .;28
"6
5,9,10



5,9,10
6
5,9,10
6,10
5,6
5
5,6

5
7
5
5
5
6
5,6,9";"


















";zh;13;16;MOP4;2, 2, 4, 4, 4, 1, 2, 3, 2, 1, 2, 1, 4, 1, 3, 1, 1, 1, 3, 2;1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3;2, 2, 4, 4, 4, 1, 2, 3, 2, 1, 2, 1, 4, 1, 3, 1, 1, 1, 3, 2,1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3;He is the second ( 2003 ) Gulf War, the United States Marine Corps embedded .;27
"



10
10




7
10







";"


















";en;18;18;MOP4;4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;He played three seasons in the NFL , one with the Seattle Seahawks and two with the Miami Dolphins .;4
9;;ja;19;18;MOP4;2;1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1;2,1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1;He preferred more , the style of pacing volley and was completed quickness , the angle excellent choice , paired with strategy .;1
"
10
9
5

5,10

9

9


7
9
5
6,10


5
10";"


















";no;19;13;MOP4;4, 3, 1, 1, 4, 2, 4, 2, 4, 3, 4, 4, 2, 3, 3, 2, 4, 4, 2, 3;1, 3, 4, 2, 4, 2, 3, 4, 2, 3, 3, 4, 1;4, 3, 1, 1, 4, 2, 4, 2, 4, 3, 4, 4, 2, 3, 3, 2, 4, 4, 2, 3,1, 3, 4, 2, 4, 2, 3, 4, 2, 3, 3, 4, 1;He said the state could ask the company that prepared the ship for its sinking to correct its position .;14
"
10

9
5
9



9

5,7
5

5



";"

















";es;18;17;MOP4;4, 3, 4, 2, 3, 3, 4, 4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 4, 4;3, 2, 4, 3, 3, 2, 3, 1, 1, 3, 4, 3, 1, 4, 1, 2, 3;4, 3, 4, 2, 3, 3, 4, 4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 4, 4,3, 2, 4, 3, 3, 2, 3, 1, 1, 3, 4, 3, 1, 4, 1, 2, 3;He said the state could ask the company that prepares the ship for sinking to correct its position .;9
"
8,9

8,9

";"




";en;16;16;MOP4;4, 2, 4, 3, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 2, 4, 3, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;He was born in Nashville , Tennessee during the height of Jesse James' career as an outlaw .;4
"5,9




5,9
5,9
5,9
5

7,10
7
5
5,9
5,9
5,9,10
5
5

10";"


















";ja;14;18;MOP4;1, 4, 4, 4, 4, 1, 3, 2, 3, 4, 1, 3, 2, 2, 3, 2, 2, 1, 4, 3;4, 4, 1, 2, 1, 1, 1, 3, 1, 1, 2, 4, 2, 1, 3, 3, 4, 3;1, 4, 4, 4, 4, 1, 3, 2, 3, 4, 1, 3, 2, 2, 3, 2, 2, 1, 4, 3,4, 4, 1, 2, 1, 1, 1, 3, 1, 1, 2, 4, 2, 1, 3, 3, 4, 3;He was survived by two daughters and predeceased, his wife , by Barbara King Forest .;23
"
7
7





5
5






9


8";"


















";no;23;16;MOP4;4, 2, 2, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3;4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4;4, 2, 2, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3,4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4;He was then transferred to Riazuddin 's Theoretical Physics Group ( TPG ) , where he had worked closely with Riazuddin in the development of nuclear weapons.;6
"10
7
9

8,9


";"






";en;17;18;MOP4;3, 3, 3, 4, 3, 4, 4, 4;4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 2;3, 3, 3, 4, 3, 4, 4, 4,4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 2;He wrote over 20 books including  The Mad Morality  and  Christian Anarchy : Jesus' Primacy Over the Powers  .;5
"






6

7
9

6

9
7


8,9
";"


















";en;11;17;MOP4;4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 3, 4, 3, 2, 4, 4, 1, 4;3, 4, 2, 2, 4, 2, 1, 4, 4, 4, 4, 3, 2, 4, 2, 4, 4;4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 3, 4, 3, 2, 4, 4, 1, 4,3, 4, 2, 2, 4, 2, 1, 4, 4, 4, 4, 3, 2, 4, 2, 4, 4;Hispanic or Latino of any race were 1.5 % of the population .;8
"10
10


10
10
7
5
10

10

6,7,10
6,9
5,6,10


5,6
10
7";"


















";es;11;17;MOP4;3, 3, 4, 4, 3, 3, 3, 2, 3, 4, 2, 4, 2, 3, 2, 4, 4, 3, 3, 2;4, 1, 2, 3, 4, 1, 2, 2, 3, 2, 1, 2, 1, 3, 4, 1, 3;3, 3, 4, 4, 3, 3, 3, 2, 3, 4, 2, 4, 2, 3, 2, 4, 4, 3, 3, 2,4, 1, 2, 3, 4, 1, 2, 2, 3, 2, 1, 2, 1, 3, 4, 1, 3;How to approach the king for a post in the  Hird ;20
"5,7,9
10


5,9,11


5,7
5,9,10
5
5,10


5
5,9,11

5,10
7
5
5";"



The sentence makes little sense.









Too many mixed words




";ja;15;16;MOP4;1, 3, 4, 4, 2, 4, 4, 3, 1, 1, 2, 4, 4, 3, 1, 4, 2, 3, 2, 1;1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 3;1, 3, 4, 4, 2, 4, 4, 3, 1, 1, 2, 4, 4, 3, 1, 4, 2, 3, 2, 1,1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 3;How to play  crying Tichimi  Her became the basis of the 1958 movie  Restless year  .;24
"




5,9,10
5,9
6,10



10
5
5
9,10
5
5
5,6,10
5,6
5,6";"


















";es;11;17;MOP4;4, 4, 4, 4, 4, 1, 3, 2, 4, 4, 4, 3, 2, 2, 3, 2, 1, 2, 1, 1;2, 2, 2, 2, 3, 3, 1, 4, 1, 3, 1, 3, 4, 4, 1, 4, 3;4, 4, 4, 4, 4, 1, 3, 2, 4, 4, 4, 3, 2, 2, 3, 2, 1, 2, 1, 1,2, 2, 2, 2, 3, 3, 1, 4, 1, 3, 1, 3, 4, 4, 1, 4, 3;However, during these years that he learned English , Tamil and Kannada .;21
"
7

8


8
5

8
9


9

9

5

";"


















";en;13;16;MOP4;4, 3, 4, 2, 4, 4, 3, 3, 4, 1, 3, 4, 4, 2, 4, 3, 4, 3, 4, 4;2, 4, 4, 1, 4, 4, 3, 4, 3, 4, 3, 4, 2, 3, 1, 4;4, 3, 4, 2, 4, 4, 3, 3, 4, 1, 3, 4, 4, 2, 4, 3, 4, 3, 4, 4,2, 4, 4, 1, 4, 4, 3, 4, 3, 4, 3, 4, 2, 3, 1, 4;Hydration , the addition of water across the double bond of alkenes , yields alcohols .;9
"


6,9,10
5,6,10

9
6
6
9,10



6,10
6
10

6
5,6
6";"


















";ja;11;14;MOP4;4, 4, 4, 2, 1, 4, 3, 3, 3, 3, 4, 4, 4, 1, 2, 3, 4, 3, 3, 2;4, 3, 4, 3, 4, 3, 3, 4, 2, 4, 3, 3, 1, 3;4, 4, 4, 2, 1, 4, 3, 3, 3, 3, 4, 4, 4, 1, 2, 3, 4, 3, 3, 2,4, 3, 4, 3, 4, 3, 3, 4, 2, 4, 3, 3, 1, 3;Icon of Theotocos Iverskaya disappeared in 1927 , it was not recovered .;19
"9
9

9
5
7

8

7
9
9,10,11

9

5
10
9
5,9
7,9";"










in this fiftieth birthday







";es;19;18;MOP4;3, 3, 4, 3, 2, 2, 4, 3, 4, 3, 3, 2, 4, 3, 4, 2, 3, 3, 1, 1;2, 1, 3, 3, 3, 4, 2, 3, 2, 2, 1, 4, 2, 2, 1, 1, 4, 4;3, 3, 4, 3, 2, 2, 4, 3, 4, 3, 3, 2, 4, 3, 4, 2, 3, 3, 1, 1,2, 1, 3, 3, 3, 4, 2, 3, 2, 2, 1, 4, 2, 2, 1, 1, 4, 4;In 1917 , in his fiftieth birthday , the galleries of Paul Cassirer provided a retrospective of drawings by Kollwitz hundred .;19
"10
8
5

5,7





9
5


7
8,9



5";"


















";en;25;16;MOP4;3, 3, 3, 4, 3, 4, 4, 4, 4, 4, 2, 2, 4, 4, 3, 3, 4, 4, 4, 3;4, 1, 4, 1, 4, 3, 3, 2, 3, 1, 3, 3, 4, 4, 4, 4;3, 3, 3, 4, 3, 4, 4, 4, 4, 4, 2, 2, 4, 4, 3, 3, 4, 4, 4, 3,4, 1, 4, 1, 4, 3, 3, 2, 3, 1, 3, 3, 4, 4, 4, 4;In 1951 , the rear suspension was upgraded to the  Jampot  unit , derided for its shape in the 28 September issue of the  Motor Cycle  magazine .;11
"7




9
9


5,9

9







";"


















";en;14;16;MOP4;3, 4, 4, 4, 4, 3, 3, 4, 4, 1, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;3, 4, 4, 4, 4, 3, 3, 4, 4, 1, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;In 2003 , Willis Broadcasting Corp. sold the station to Starboard Broadcasting for $ 1.5 million .;6
"
7
7



10




10
10
6





";"


















";no;19;13;MOP4;4, 2, 2, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4;4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 4;4, 2, 2, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4,4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 4;In 2003 the ceremonial borders were further adjusted , placing the entire Caerphilly Municipality in the ceremonial county of Gwent .;6
"8,9



7
7,9
9

6
9

5
5,9
5
6,10
6,10
7
9

9";"


















";zh;21;15;MOP4;3, 4, 4, 4, 3, 2, 3, 4, 3, 2, 4, 3, 3, 1, 2, 2, 3, 2, 4, 3;1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3;3, 4, 4, 4, 3, 2, 3, 4, 3, 2, 4, 3, 3, 1, 2, 2, 3, 2, 4, 3,1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3;In Aleppo vilayet of farmland , including Maskanah, was confiscated in 1876 by the Sultan Abdulhamid II as his own personal property.;19
"7



9
9










10
5,9

";"


















";es;11;17;MOP4;3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;In December 2009 , Panter became President of the Rambert Dance Company.;6
"





7







5




5,7";"


















";en;19;16;MOP4;4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 2;4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4;4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 2,4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4;In his two spells for Southampton , Brown made a total of 81 appearances in all competitions , scoring 31 goals .;4
"


10
5,9,10

9
5
9,10
5
10

7

10
9,10
9,10
6,7
10
5";"


















";en;17;12;MOP4;4, 4, 4, 3, 1, 4, 2, 2, 3, 2, 3, 4, 2, 4, 3, 1, 3, 2, 3, 3;3, 4, 4, 3, 3, 3, 3, 4, 3, 3, 2, 2;4, 4, 4, 3, 1, 4, 2, 2, 3, 2, 3, 4, 2, 4, 3, 1, 3, 2, 3, 3,3, 4, 4, 3, 3, 3, 3, 4, 3, 3, 2, 2;In it Mayr uses in a creative manner the historical sources of which he has excellent knowledge .;20
"
5


9
9
7

6
5,10
5
9


5
6
6,9,10


";"


















";ja;10;17;MOP4;4, 2, 4, 4, 3, 2, 3, 4, 2, 3, 3, 2, 4, 4, 2, 2, 2, 4, 4, 4;4, 2, 3, 4, 2, 4, 3, 3, 3, 4, 4, 3, 4, 3, 4, 3, 1;4, 2, 4, 4, 3, 2, 3, 4, 2, 3, 3, 2, 4, 4, 2, 2, 2, 4, 4, 4,4, 2, 3, 4, 2, 4, 3, 3, 3, 4, 4, 3, 4, 3, 4, 3, 1;In some cases , control of the radio is called programmable .;14
"5,7




5,9,10
7
9
6

10
9,10
5,9,10
5
5,9
7
9
5,7
5
5,7,9";"


















";zh;22;17;MOP4;2, 4, 4, 4, 4, 2, 3, 2, 3, 4, 2, 3, 1, 3, 3, 3, 2, 1, 3, 2;1, 3, 1, 4, 1, 1, 3, 2, 4, 2, 2, 2, 2, 4, 3, 2, 1;2, 4, 4, 4, 4, 2, 3, 2, 3, 4, 2, 3, 1, 3, 3, 3, 2, 1, 3, 2,1, 3, 1, 4, 1, 1, 3, 2, 4, 2, 2, 2, 2, 4, 3, 2, 1;In the comics, Ji new monsters wreak havoc across the city back to the last part of the front of the school .;25
"5,6,10
5,8,10
5,10
5,7,8,9,10
5,6,8,10
5,6,7,9,10
5,6,9,10
5,6,9,10
5,6,7,9,10
10
10
5,9,10
9,10
5,9,10
5,9,10
5
7
8,9
5,6,9,10
5";"


















";ja;24;15;MOP4;1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 3, 1, 1, 1, 1, 2, 3, 3, 2, 1;1, 2, 1, 1, 4, 1, 1, 1, 2, 1, 1, 3, 2, 1, 4;1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 3, 1, 1, 1, 1, 2, 3, 3, 2, 1,1, 2, 1, 1, 4, 1, 1, 1, 2, 1, 1, 3, 2, 1, 4;In the Federal District ) , sovereignty and national freedom ( includes federal entities of 32 of Mexico , is one of 31 states officially of Sonora ) , Sonora ( .;57
"5
5

9
5
9
5

6,7
5,6
5,9

5,7,9
5
6
5,10
6
5,9

6";"


















";es;21;16;MOP4;3, 1, 4, 3, 2, 3, 1, 4, 2, 2, 2, 4, 2, 1, 2, 1, 3, 1, 4, 3;3, 1, 1, 1, 2, 2, 2, 3, 2, 1, 2, 2, 1, 2, 4, 1;3, 1, 4, 3, 2, 3, 1, 4, 2, 2, 2, 4, 2, 1, 2, 1, 3, 1, 4, 3,3, 1, 1, 1, 2, 2, 2, 3, 2, 1, 2, 2, 1, 2, 4, 1;In the Latin Grammy Awards in Houston, Texas, after a presentation of various accordion Latin music that touched with his song .;23
"

10
10

8,9

9,10
5









10
";"


















";zh;16;17;MOP4;4, 4, 3, 3, 4, 3, 4, 3, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3;4, 4, 3, 3, 4, 3, 4, 3, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3;In this book , the author describes his four -year survey of the world of international art theft .;8
"



9

9,10



5
9


7



9
";"


















";es;12;13;MOP4;4, 4, 4, 4, 3, 4, 2, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 4;4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 1;4, 4, 4, 4, 3, 4, 2, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 4,4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 1;Inside, the building has an inviting oval staircase lit by a cupola .;7
"
7
5,10
5,7

5,9,10
5
8,9

5,7,9,10
5

5
7
5,7
5
5
5,6,9
5,9
5";"


















";ja;23;16;MOP4;4, 3, 2, 3, 4, 1, 1, 2, 4, 1, 3, 4, 1, 1, 1, 2, 2, 1, 1, 1;1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3, 1;4, 3, 2, 3, 4, 1, 1, 2, 4, 1, 3, 4, 1, 1, 1, 2, 2, 1, 1, 1,1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3, 1;It becomes 16T and 14T freewheel special FAT Heavy Duty BMX compatible with the March 16 is the  the teeth ACS, only chain 3/16  .;28
"10


9

9,10




10
8

7
10
6



";"


















";no;14;15;MOP4;3, 4, 4, 2, 4, 2, 4, 4, 4, 4, 3, 2, 4, 2, 3, 3, 4, 4, 4, 4;4, 3, 3, 4, 3, 3, 3, 2, 3, 4, 4, 2, 3, 1, 3;3, 4, 4, 2, 4, 2, 4, 4, 4, 4, 3, 2, 4, 2, 3, 3, 4, 4, 4, 4,4, 3, 3, 4, 3, 3, 3, 2, 3, 4, 4, 2, 3, 1, 3;It is a fully ordered triclinic modification of potassium feldspar and dimorphous with orthoclase .;9
"5,9







5



11
5
5,8
5
7

5
10";"











too complex words






";es;15;16;MOP4;2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 1, 2, 3, 3, 4, 3, 3;4, 4, 2, 3, 3, 2, 4, 4, 4, 3, 4, 4, 1, 2, 1, 4;2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 1, 2, 3, 3, 4, 3, 3,4, 4, 2, 3, 3, 2, 4, 4, 4, 3, 4, 4, 1, 2, 1, 4;It is a totally ordered triclinic modification of potassium feldspar and is dimorphic with orthoclase .;11
"
9";"
";en;12;17;MOP4;4, 3;4, 4, 4, 4, 3, 4, 2, 3, 3, 4, 4, 4, 4, 4, 4, 1, 4;4, 3,4, 4, 4, 4, 3, 4, 2, 3, 3, 4, 4, 4, 4, 4, 4, 1, 4;It is best known for the Puy du Fou historical theme park .;1
"5,10
5,9,10


5,9,10


10
5
10
6

5,10
5,9,10
10
7,10
10
5,6,10
9,10
7";"


















";zh;17;17;MOP4;3, 2, 4, 4, 1, 4, 4, 3, 1, 3, 3, 4, 3, 2, 3, 1, 3, 1, 2, 3;4, 3, 4, 2, 2, 2, 3, 3, 4, 2, 4, 1, 4, 2, 1, 3, 1;3, 2, 4, 4, 1, 4, 4, 3, 1, 3, 3, 4, 3, 2, 3, 1, 3, 1, 2, 3,4, 3, 4, 2, 2, 2, 3, 3, 4, 2, 4, 1, 4, 2, 1, 3, 1;It is located in the Eastern European Alps Yuelienci the Hohe Tauern mountain range to the north .;27
"7

5,7

9
6
5
5,6
7
6

5
7

6
5,7
7
9
5,7
6,9";"


















";ja;12;16;MOP4;3, 4, 2, 4, 3, 1, 1, 3, 3, 2, 4, 2, 2, 4, 1, 2, 3, 1, 1, 1;4, 3, 2, 2, 1, 1, 2, 3, 2, 3, 4, 1, 1, 3, 2, 1;3, 4, 2, 4, 3, 1, 1, 3, 3, 2, 4, 2, 2, 4, 1, 2, 3, 1, 1, 1,4, 3, 2, 2, 1, 1, 2, 3, 2, 3, 4, 1, 1, 3, 2, 1;It is located in the market town of South Market Weighton about .;21
"







9
6
7

10
10
9




";"


















";en;20;17;MOP4;4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 2, 3, 3, 4, 4, 4, 4, 4;3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 3;4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 2, 3, 3, 4, 4, 4, 4, 4,3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 3;It is set near the site of the pre-reformation St.Mary's Chapel and has long been associated with pagan ritual practices .;6
