"followup1","other1","language","length","mop","how_natural","rating_list","merged_ratings","text","number_of_reasons","max_workers","mean_rating","std_dev","std_dev_dropoff"
"5,8,,9,10,,5,9,10,5,9,10,,5,6,7,5,5,10,7,,9,5,8,10,5,7,10,5,7,10,,","


















","ja",24,"MOP4","3, 2, 4, 3, 4, 3, 2, 2, 4, 1, 1, 1, 2, 4, 3, 2, 3, 1, 4, 4","1, 2, 1, 3, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 3, 2, 4, 2","3, 2, 4, 3, 4, 3, 2, 2, 4, 1, 1, 1, 2, 4, 3, 2, 3, 1, 4, 4,1, 2, 1, 3, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 3, 2, 4, 2","During the second half of her career , Pereira , refused to rich experience difficulty with director of the museum and gallery owners and Abstract Expressionism .",32,38,2.26315789473684,1.08264467296937,0.0106342489499289
",,5,10,10,5,9,5,9,10,5,11,,5,11,,9,5,8,9,6,7,6,10,9","









stages seems wrong because stages are not usually named after people.  maybe is should be ""names of several people""

it is stage names not the name of several stages






","zh",16,"MOP4","4, 4, 3, 3, 3, 3, 2, 3, 2, 2, 3, 4, 2, 4, 3, 2, 2, 3, 2, 3","3, 2, 3, 4, 4, 4, 4, 2, 2, 3, 4, 4, 1, 3, 2, 1","4, 4, 3, 3, 3, 3, 2, 3, 2, 2, 3, 4, 2, 4, 3, 2, 2, 3, 2, 3,3, 2, 3, 4, 4, 4, 4, 2, 2, 3, 4, 4, 1, 3, 2, 1","During this time , he used the name of several stages , including Don Maxwell and Chester Lad .",25,36,2.86111111111111,0.899294255919695,0.0485841614197328
",,,,,,,,,,,,,,,,,,,7","


















","es",12,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","Each group was asked to rate both the best and worst politicians .",20,35,3.94285714285714,0.235504107976803,0.0614264520211049
"7,,,,,9,10,,10,,,,6,7,9,10,,5,7,5,10,5,10,5,9,10,,","


















","zh",20,"MOP4","2, 4, 4, 4, 4, 2, 4, 3, 4, 4, 4, 2, 4, 3, 2, 3, 1, 2, 4, 4","3, 2, 3, 1, 4, 1, 3, 4, 3, 3, 4, 4, 2, 3, 1, 2, 2, 1","2, 4, 4, 4, 4, 2, 4, 3, 4, 4, 4, 2, 4, 3, 2, 3, 1, 2, 4, 4,3, 2, 3, 1, 4, 1, 3, 4, 3, 3, 4, 4, 2, 3, 1, 2, 2, 1","Endo Pharmaceuticals building construction due to the contours of the cushion can be described as shallow and wide landscape plan .",27,38,2.89473684210526,1.08526926996746,0.0300479360796053
",,10,9,10,,5,10,9,,10,5,10,5,5,8,9,10,10,6,9,5,5,6,9,5,5,7,9","


















","es",22,"MOP4","4, 4, 3, 2, 4, 3, 3, 4, 2, 2, 3, 3, 1, 3, 3, 2, 1, 2, 1, 1","2, 2, 1, 3, 1, 4, 2, 4, 4, 1, 1, 2, 3, 1, 2, 1, 1, 1","4, 4, 3, 2, 4, 3, 3, 4, 2, 2, 3, 3, 1, 3, 3, 2, 1, 2, 1, 1,2, 2, 1, 3, 1, 4, 2, 4, 4, 1, 1, 2, 3, 1, 2, 1, 1, 1","Endo Pharmaceuticals The building can be described as a mat building due to its shallow and wide in the landscape plan profile.",29,38,2.28947368421053,1.11277337331994,0.0133507254132519
"6,,6,7,9,9,5,,5,9,5,6,10,7,,6,5,,5,10,5,6,9,6,,5,7","


















","no",24,"MOP4","3, 4, 3, 3, 3, 4, 1, 3, 2, 3, 4, 3, 1, 4, 2, 1, 2, 4, 3, 3","2, 3, 2, 4, 3, 2, 1, 2, 4, 4, 4, 2, 1, 2, 3, 4","3, 4, 3, 3, 3, 4, 1, 3, 2, 3, 4, 3, 1, 4, 2, 1, 2, 4, 3, 3,2, 3, 2, 4, 3, 2, 1, 2, 4, 4, 4, 2, 1, 2, 3, 4","Engaged in long-range strategic bombing of enemy targets in occupied Europe and Nazi Germany , attacking transportation, industry, oil industry and other measures as directed .",27,36,2.75,1.02469507659596,0.00602728747709946
",6,8,9,10,,,9,,6,,,6,,,5,,9,10,6,,","


















","ja",17,"MOP4","4, 3, 2, 4, 4, 3, 4, 3, 4, 4, 2, 4, 4, 3, 4, 2, 3, 3, 4, 4","4, 3, 2, 2, 1, 4, 4, 3, 1, 2, 1, 1, 1","4, 3, 2, 4, 4, 3, 4, 3, 4, 4, 2, 4, 4, 3, 4, 2, 3, 3, 4, 4,4, 3, 2, 2, 1, 4, 4, 3, 1, 2, 1, 1, 1","Field of potent ligands leads to low- spin complex , which causes some exceptions to 18 e- rule .",21,33,2.93939393939394,1.11633871258329,0.0856275059895877
",,,10,,7,,9,,10,,,9,10,,10,,,,5","


















","no",11,"MOP4","4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3","4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3","From 1961 to 1963 Jones taught at Croydon College of Art.",20,35,3.74285714285714,0.44343957363116,0.00824543374191528
",,,,,,,,,,,,,,,,,,,","


















","en",12,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","From 1970 to 1982 , Wellink worked at the Dutch Ministry of Finance .",19,36,3.97222222222222,0.166666666666667,0.166666666666667
",6,7,9,,5,9,10,5,,,,,,,9,,5,9,,6,,5,9,10,11","


















There are multiple mistakes in the sentence, in grammer, the incorrect use of a plural, and the word computer used instead of costume.","es",17,"MOP4","4, 2, 4, 3, 2, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 2, 4, 1, 1","3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 1, 3, 1, 2","4, 2, 4, 3, 2, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 2, 4, 1, 1,3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 1, 3, 1, 2","Gaga costumes throughout the video consists mainly of a single computer that was designed by Gianni Versace.",26,36,3.02777777777778,0.970599552886509,0.0572405878949344
",8,,,,5,9,,5,7,9,,,,,10,7,10,,10,5,6","


















","en",23,"MOP4","4, 2, 4, 4, 4, 2, 1, 4, 3, 3, 2, 4, 4, 4, 4, 3, 3, 4, 3, 2","4, 4, 3, 3, 2, 1, 2, 4, 4, 3, 2, 3, 2, 4, 1, 2, 4","4, 2, 4, 4, 4, 2, 1, 4, 3, 3, 2, 4, 4, 4, 4, 3, 3, 4, 3, 2,4, 4, 3, 3, 2, 1, 2, 4, 4, 3, 2, 3, 2, 4, 1, 2, 4","Geertz's final category of slametans , intermittently occurring and dependent on a specific situation , are somewhat less frequent and tend to be smaller affairs .",22,37,3.02702702702703,1.01342341941906,0.000761686255156491
",,,,,10,6,7,9,,,9,,,,,5,10,,,","


















","zh",18,"MOP4","4, 4, 4, 4, 4, 3, 3, 2, 4, 4, 3, 4, 4, 4, 4, 2, 3, 4, 4, 4","4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 2","4, 4, 4, 4, 4, 3, 3, 2, 4, 4, 3, 4, 4, 4, 4, 2, 3, 4, 4, 4,4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 2","Given this approach, language and literacy interventions take place continually , while strengthening the bond between parents and children .",20,36,3.63888888888889,0.639320075337979,0.0505057435740919
"6,9,6,9,10,5,9,10,,5,9,5,6,9,,5,6","








","zh",8,"MOP4","1, 2, 3, 2, 3, 4, 1, 1, 4, 2","2, 2, 1, 2, 1, 2, 1, 1, 1, 3, 1, 2, 1, 4","1, 2, 3, 2, 3, 4, 1, 1, 4, 2,2, 2, 1, 2, 1, 2, 1, 1, 1, 3, 1, 2, 1, 4","Guests have from two sports and entertainment world .",17,24,1.95833333333333,1.04170289792063,0.0702488620944619
"7,,10,,9,9,,10,,7,10,,9,10,10,,10,5,6,8,7,5,7,5","


















","en",17,"MOP4","3, 4, 1, 4, 3, 3, 4, 3, 4, 2, 4, 2, 2, 4, 3, 2, 2, 2, 3, 1","3, 2, 3, 1, 3, 2, 4, 4, 1, 1, 2, 1, 3, 4, 3, 3","3, 4, 1, 4, 3, 3, 4, 3, 4, 2, 4, 2, 2, 4, 3, 2, 2, 2, 3, 1,3, 2, 3, 1, 3, 2, 4, 4, 1, 1, 2, 1, 3, 4, 3, 3","Harold` s batman Private Albert Scriven wrote to his widow Mabel on 16 September describing what happened :",24,36,2.66666666666667,1.04197614450346,0.0277831867192115
",,,,5,,,,6,,,,6,,,10,5,,,","


















","ja",9,"MOP4","4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4","4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4","Haslum is a district in the municipality Baerum , Norway .",19,38,3.78947368421053,0.4740791778346,0.0961147048253725
"7,,,,,7,7,10,7,,,7,7,10,6,10,7,9,10,7,9,7,9,7,,10","


















","en",21,"MOP4","2, 4, 4, 4, 4, 2, 3, 3, 4, 4, 3, 3, 3, 3, 3, 2, 3, 3, 4, 3","4, 2, 4, 2, 1, 3, 2, 3, 4, 2, 3, 4, 1, 3, 2, 4","2, 4, 4, 4, 4, 2, 3, 3, 4, 4, 3, 3, 3, 3, 3, 2, 3, 3, 4, 3,4, 2, 4, 2, 1, 3, 2, 3, 4, 2, 3, 4, 1, 3, 2, 4","He has established three international organizations ; are Sawaad-e-A’zam , Ahle Sunnat Haqeeqee and International Sunni Movement which are non-profit and non-political movements .",26,36,3,0.894427190999916,0.00680182640132132
"6,7,5,9,8,9,10,,,10,,5,9,10,5,,5,8,,5,8,9,,8,5,8,9,10,8,9,7,8,8,9","


















","en",15,"MOP4","2, 3, 2, 2, 4, 4, 2, 4, 2, 1, 4, 1, 4, 2, 4, 3, 2, 3, 3, 3","3, 4, 4, 3, 1, 4, 3, 1, 3, 3, 1, 2, 1, 1, 2, 4","2, 3, 2, 2, 4, 4, 2, 4, 2, 1, 4, 1, 4, 2, 4, 3, 2, 3, 3, 3,3, 4, 4, 3, 1, 4, 3, 1, 3, 3, 1, 2, 1, 1, 2, 4","He is an acute ... and discriminat ... logician  with  the habitual coolness and caution  of the lawyer .",34,36,2.63888888888889,1.09942264790669,0.00194580893160134
"6,5,9,10,,,,5,9,10,6,5,9,10,6,10,5,6,5,5,6,,5,7,5,5,5,6,5,6,9","


















","zh",13,"MOP4","2, 2, 4, 4, 4, 1, 2, 3, 2, 1, 2, 1, 4, 1, 3, 1, 1, 1, 3, 2","1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3","2, 2, 4, 4, 4, 1, 2, 3, 2, 1, 2, 1, 4, 1, 3, 1, 1, 1, 3, 2,1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3","He is the second ( 2003 ) Gulf War, the United States Marine Corps embedded .",31,36,1.75,1.0522085616183,0.00117914879472369
",,,,10,10,,,,,7,10,,,,,,,,","


















","en",18,"MOP4","4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3","4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3","He played three seasons in the NFL , one with the Seattle Seahawks and two with the Miami Dolphins .",19,38,3.86842105263158,0.342569987450104,0.0238423582942662
"9","","ja",19,"MOP4","2","1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1","2,1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1","He preferred more , the style of pacing volley and was completed quickness , the angle excellent choice , paired with strategy .",1,19,1.31578947368421,0.582392725357819,0.145155409260216
",10,9,5,,5,10,,9,,9,,,7,9,5,6,10,,,5,10","


















","no",19,"MOP4","4, 3, 1, 1, 4, 2, 4, 2, 4, 3, 4, 4, 2, 3, 3, 2, 4, 4, 2, 3","1, 3, 4, 2, 4, 2, 3, 4, 2, 3, 3, 4, 1","4, 3, 1, 1, 4, 2, 4, 2, 4, 3, 4, 4, 2, 3, 3, 2, 4, 4, 2, 3,1, 3, 4, 2, 4, 2, 3, 4, 2, 3, 3, 4, 1","He said the state could ask the company that prepared the ship for its sinking to correct its position .",22,33,2.87878787878788,1.05349346692255,0.0417346448811984
",10,,9,5,9,,,,9,,5,7,5,,5,,,,","

















","es",18,"MOP4","4, 3, 4, 2, 3, 3, 4, 4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 4, 4","3, 2, 4, 3, 3, 2, 3, 1, 1, 3, 4, 3, 1, 4, 1, 2, 3","4, 3, 4, 2, 3, 3, 4, 4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 4, 4,3, 2, 4, 3, 3, 2, 3, 1, 1, 3, 4, 3, 1, 4, 1, 2, 3","He said the state could ask the company that prepares the ship for sinking to correct its position .",19,36,3,1.01418510567422,0.0152393913185964
",8,9,,8,9,,","




","en",16,"MOP4","4, 2, 4, 3, 4, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","4, 2, 4, 3, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","He was born in Nashville , Tennessee during the height of Jesse James' career as an outlaw .",7,22,3.81818181818182,0.501081082343218,0.0117205974136254
"5,9,,,,,5,9,5,9,5,9,5,,7,10,7,5,5,9,5,9,5,9,10,5,5,,10","


















","ja",14,"MOP4","1, 4, 4, 4, 4, 1, 3, 2, 3, 4, 1, 3, 2, 2, 3, 2, 2, 1, 4, 3","4, 4, 1, 2, 1, 1, 1, 3, 1, 1, 2, 4, 2, 1, 3, 3, 4, 3","1, 4, 4, 4, 4, 1, 3, 2, 3, 4, 1, 3, 2, 2, 3, 2, 2, 1, 4, 3,4, 4, 1, 2, 1, 1, 1, 3, 1, 1, 2, 4, 2, 1, 3, 3, 4, 3","He was survived by two daughters and predeceased, his wife , by Barbara King Forest .",29,38,2.47368421052632,1.17948321494566,0.000710473758505081
",7,7,,,,,,5,5,,,,,,,9,,,8","


















","no",23,"MOP4","4, 2, 2, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3","4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4","4, 2, 2, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3,4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4","He was then transferred to Riazuddin 's Theoretical Physics Group ( TPG ) , where he had worked closely with Riazuddin in the development of nuclear weapons.",20,36,3.66666666666667,0.632455532033676,0.0535636038401406
"10,7,9,,8,9,,,","






","en",17,"MOP4","3, 3, 3, 4, 3, 4, 4, 4","4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 2","3, 3, 3, 4, 3, 4, 4, 4,4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 2","He wrote over 20 books including  The Mad Morality  and  Christian Anarchy : Jesus' Primacy Over the Powers  .",8,26,3.69230769230769,0.549125178386915,0.106799309922224
",,,,,,,6,,7,9,,6,,9,7,,,8,9,","


















","en",11,"MOP4","4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 3, 4, 3, 2, 4, 4, 1, 4","3, 4, 2, 2, 4, 2, 1, 4, 4, 4, 4, 3, 2, 4, 2, 4, 4","4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 3, 4, 3, 2, 4, 4, 1, 4,3, 4, 2, 2, 4, 2, 1, 4, 4, 4, 4, 3, 2, 4, 2, 4, 4","Hispanic or Latino of any race were 1.5 % of the population .",20,37,3.32432432432432,0.944400281603035,0.0126610469201802
"10,10,,,10,10,7,5,10,,10,,6,7,10,6,9,5,6,10,,,5,6,10,7","


















","es",11,"MOP4","3, 3, 4, 4, 3, 3, 3, 2, 3, 4, 2, 4, 2, 3, 2, 4, 4, 3, 3, 2","4, 1, 2, 3, 4, 1, 2, 2, 3, 2, 1, 2, 1, 3, 4, 1, 3","3, 3, 4, 4, 3, 3, 3, 2, 3, 4, 2, 4, 2, 3, 2, 4, 4, 3, 3, 2,4, 1, 2, 3, 4, 1, 2, 2, 3, 2, 1, 2, 1, 3, 4, 1, 3","How to approach the king for a post in the  Hird ",26,37,2.7027027027027,0.996239174341429,0.0157573857216068
"5,7,9,10,,,5,9,11,,,5,7,5,9,10,5,5,10,,,5,5,9,11,,5,10,7,5,5","



The sentence makes little sense.









Too many mixed words




","ja",15,"MOP4","1, 3, 4, 4, 2, 4, 4, 3, 1, 1, 2, 4, 4, 3, 1, 4, 2, 3, 2, 1","1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 3","1, 3, 4, 4, 2, 4, 4, 3, 1, 1, 2, 4, 4, 3, 1, 4, 2, 3, 2, 1,1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 3","How to play  crying Tichimi  Her became the basis of the 1958 movie  Restless year  .",31,36,2.11111111111111,1.16564581187004,0.0244050416098014
",,,,,5,9,10,5,9,6,10,,,,10,5,5,9,10,5,5,5,6,10,5,6,5,6","


















","es",11,"MOP4","4, 4, 4, 4, 4, 1, 3, 2, 4, 4, 4, 3, 2, 2, 3, 2, 1, 2, 1, 1","2, 2, 2, 2, 3, 3, 1, 4, 1, 3, 1, 3, 4, 4, 1, 4, 3","4, 4, 4, 4, 4, 1, 3, 2, 4, 4, 4, 3, 2, 2, 3, 2, 1, 2, 1, 1,2, 2, 2, 2, 3, 3, 1, 4, 1, 3, 1, 3, 4, 4, 1, 4, 3","However, during these years that he learned English , Tamil and Kannada .",29,37,2.64864864864865,1.15989022986891,0.00831603717169638
",7,,8,,,8,5,,8,9,,,9,,9,,5,,","


















","en",13,"MOP4","4, 3, 4, 2, 4, 4, 3, 3, 4, 1, 3, 4, 4, 2, 4, 3, 4, 3, 4, 4","2, 4, 4, 1, 4, 4, 3, 4, 3, 4, 3, 4, 2, 3, 1, 4","4, 3, 4, 2, 4, 4, 3, 3, 4, 1, 3, 4, 4, 2, 4, 3, 4, 3, 4, 4,2, 4, 4, 1, 4, 4, 3, 4, 3, 4, 3, 4, 2, 3, 1, 4","Hydration , the addition of water across the double bond of alkenes , yields alcohols .",19,36,3.25,0.96732325812744,0.0618044292916646
",,,6,9,10,5,6,10,,9,6,6,9,10,,,,6,10,6,10,,6,5,6,6","


















","ja",11,"MOP4","4, 4, 4, 2, 1, 4, 3, 3, 3, 3, 4, 4, 4, 1, 2, 3, 4, 3, 3, 2","4, 3, 4, 3, 4, 3, 3, 4, 2, 4, 3, 3, 1, 3","4, 4, 4, 2, 1, 4, 3, 3, 3, 3, 4, 4, 4, 1, 2, 3, 4, 3, 3, 2,4, 3, 4, 3, 4, 3, 3, 4, 2, 4, 3, 3, 1, 3","Icon of Theotocos Iverskaya disappeared in 1927 , it was not recovered .",27,34,3.08823529411765,0.933148695768015,0.0492652192848304
"9,9,,9,5,7,,8,,7,9,9,10,11,,9,,5,10,9,5,9,7,9","










in this fiftieth birthday







","es",19,"MOP4","3, 3, 4, 3, 2, 2, 4, 3, 4, 3, 3, 2, 4, 3, 4, 2, 3, 3, 1, 1","2, 1, 3, 3, 3, 4, 2, 3, 2, 2, 1, 4, 2, 2, 1, 1, 4, 4","3, 3, 4, 3, 2, 2, 4, 3, 4, 3, 3, 2, 4, 3, 4, 2, 3, 3, 1, 1,2, 1, 3, 3, 3, 4, 2, 3, 2, 2, 1, 4, 2, 2, 1, 1, 4, 4","In 1917 , in his fiftieth birthday , the galleries of Paul Cassirer provided a retrospective of drawings by Kollwitz hundred .",24,38,2.65789473684211,1.02076589659296,0.0243437255945694
"10,8,5,,5,7,,,,,,9,5,,,7,8,9,,,,5","


















","en",25,"MOP4","3, 3, 3, 4, 3, 4, 4, 4, 4, 4, 2, 2, 4, 4, 3, 3, 4, 4, 4, 3","4, 1, 4, 1, 4, 3, 3, 2, 3, 1, 3, 3, 4, 4, 4, 4","3, 3, 3, 4, 3, 4, 4, 4, 4, 4, 2, 2, 4, 4, 3, 3, 4, 4, 4, 3,4, 1, 4, 1, 4, 3, 3, 2, 3, 1, 3, 3, 4, 4, 4, 4","In 1951 , the rear suspension was upgraded to the  Jampot  unit , derided for its shape in the 28 September issue of the  Motor Cycle  magazine .",22,36,3.25,0.937321411561386,0.0091044572385377
"7,,,,,9,9,,,5,9,,9,,,,,,,,","


















","en",14,"MOP4","3, 4, 4, 4, 4, 3, 3, 4, 4, 1, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3","3, 4, 4, 4, 4, 3, 3, 4, 4, 1, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3","In 2003 , Willis Broadcasting Corp. sold the station to Starboard Broadcasting for $ 1.5 million .",20,36,3.77777777777778,0.590936840285279,0.000897071956275974
",7,7,,,,10,,,,,10,10,6,,,,,,","


















","no",19,"MOP4","4, 2, 2, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4","4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 4","4, 2, 2, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4,4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 4","In 2003 the ceremonial borders were further adjusted , placing the entire Caerphilly Municipality in the ceremonial county of Gwent .",19,33,3.63636363636364,0.652791209833867,0.0535084844477295
"8,9,,,,7,7,9,9,,6,9,,5,5,9,5,6,10,6,10,7,9,,9","


















","zh",21,"MOP4","3, 4, 4, 4, 3, 2, 3, 4, 3, 2, 4, 3, 3, 1, 2, 2, 3, 2, 4, 3","1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3","3, 4, 4, 4, 3, 2, 3, 4, 3, 2, 4, 3, 3, 1, 2, 2, 3, 2, 4, 3,1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3","In Aleppo vilayet of farmland , including Maskanah, was confiscated in 1876 by the Sultan Abdulhamid II as his own personal property.",25,35,2.34285714285714,1.08310167745114,0.0204394546789788
"7,,,,9,9,,,,,,,,,,,10,5,9,,","


















","es",11,"MOP4","3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3","3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3","In December 2009 , Panter became President of the Rambert Dance Company.",20,37,3.83783783783784,0.373683876611822,0.0186480753634591
",,,,,,7,,,,,,,,5,,,,,5,7","


















","en",19,"MOP4","4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 2","4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 2,4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","In his two spells for Southampton , Brown made a total of 81 appearances in all competitions , scoring 31 goals .",21,36,3.80555555555556,0.524782645860956,0.0890768136845741
",,,10,5,9,10,,9,5,9,10,5,10,,7,,10,9,10,9,10,6,7,10,5","


















","en",17,"MOP4","4, 4, 4, 3, 1, 4, 2, 2, 3, 2, 3, 4, 2, 4, 3, 1, 3, 2, 3, 3","3, 4, 4, 3, 3, 3, 3, 4, 3, 3, 2, 2","4, 4, 4, 3, 1, 4, 2, 2, 3, 2, 3, 4, 2, 4, 3, 1, 3, 2, 3, 3,3, 4, 4, 3, 3, 3, 3, 4, 3, 3, 2, 2","In it Mayr uses in a creative manner the historical sources of which he has excellent knowledge .",26,32,2.9375,0.87758833761769,0.00659999690630453
",5,,,9,9,7,,6,5,10,5,9,,,5,6,6,9,10,,,","


















","ja",10,"MOP4","4, 2, 4, 4, 3, 2, 3, 4, 2, 3, 3, 2, 4, 4, 2, 2, 2, 4, 4, 4","4, 2, 3, 4, 2, 4, 3, 3, 3, 4, 4, 3, 4, 3, 4, 3, 1","4, 2, 4, 4, 3, 2, 3, 4, 2, 3, 3, 2, 4, 4, 2, 2, 2, 4, 4, 4,4, 2, 3, 4, 2, 4, 3, 3, 3, 4, 4, 3, 4, 3, 4, 3, 1","In some cases , control of the radio is called programmable .",22,37,3.13513513513514,0.887010026316945,0.0538727944884639
"5,7,,,,,5,9,10,7,9,6,,10,9,10,5,9,10,5,5,9,7,9,5,7,5,5,7,9","


















","zh",22,"MOP4","2, 4, 4, 4, 4, 2, 3, 2, 3, 4, 2, 3, 1, 3, 3, 3, 2, 1, 3, 2","1, 3, 1, 4, 1, 1, 3, 2, 4, 2, 2, 2, 2, 4, 3, 2, 1","2, 4, 4, 4, 4, 2, 3, 2, 3, 4, 2, 3, 1, 3, 3, 3, 2, 1, 3, 2,1, 3, 1, 4, 1, 1, 3, 2, 4, 2, 2, 2, 2, 4, 3, 2, 1","In the comics, Ji new monsters wreak havoc across the city back to the last part of the front of the school .",30,37,2.51351351351351,1.04407379532775,0.00694783764428575
